RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,League
38," Kemp, M",SD,RF,154,596,80,158,31,3,23,100,39,147,12,2,0.265,0.312,0.443,0.755,NL
39," Castro, S",CHC,SS,151,547,52,145,23,2,11,69,21,91,5,5,0.265,0.296,0.375,0.671,NL
40," Galvis, F",PHI,SS,151,559,63,147,14,5,7,50,30,103,10,1,0.263,0.302,0.343,0.645,NL
41," Flores, W",NYM,SS,137,483,55,127,22,0,16,59,19,63,0,1,0.263,0.295,0.408,0.703,NL
42," Wong, K",STL,2B,150,557,71,146,28,4,11,61,36,95,15,8,0.262,0.321,0.386,0.707,NL
43," Pagan, A",SF,CF,133,512,55,134,21,3,3,37,32,93,12,4,0.262,0.303,0.332,0.635,NL
44," Granderson, C",NYM,RF,157,580,98,150,33,2,26,70,91,151,11,6,0.259,0.364,0.457,0.821,NL
45," Segura, J",MIL,SS,142,560,57,144,16,5,6,50,13,93,25,6,0.257,0.281,0.336,0.616,NL
46," Crawford, B",SF,SS,143,507,65,130,33,4,21,84,39,119,6,4,0.256,0.321,0.462,0.782,NL
47," Polanco, G",PIT,RF,153,593,83,152,35,6,9,52,55,121,27,10,0.256,0.32,0.381,0.701,NL
48," Frazier, T",CIN,3B,157,619,82,158,43,1,35,89,44,137,13,8,0.255,0.309,0.498,0.806,NL
49," Upton, J",SD,LF,150,542,85,136,26,3,26,81,68,159,19,5,0.251,0.336,0.454,0.79,NL
50," Norris, D",SD,C,147,515,65,129,33,2,14,62,35,131,4,1,0.25,0.305,0.404,0.709,NL
51," Coghlan, C",CHC,RF,148,440,64,110,25,6,16,41,58,94,11,2,0.25,0.341,0.443,0.784,NL
51," Fowler, D",CHC,CF,156,596,102,149,29,8,17,46,84,154,20,7,0.25,0.346,0.411,0.757,NL
53," Byrd, M",SF,LF,135,506,58,125,25,5,23,73,29,145,2,1,0.247,0.29,0.453,0.743,NL
54," Ramirez, A",PIT,3B,137,475,43,117,31,1,17,75,31,68,1,0,0.246,0.297,0.423,0.72,NL
55," Duda, L",NYM,1B,135,471,67,115,33,0,27,73,66,138,0,2,0.244,0.352,0.486,0.838,NL
56," Russell, A",CHC,2B,142,475,60,115,29,1,13,54,42,149,4,3,0.242,0.307,0.389,0.696,NL
57," Peterson, J",ATL,2B,152,528,55,126,23,5,6,52,56,120,12,10,0.239,0.314,0.335,0.649,NL
58," Desmond, I",WSH,SS,156,583,69,136,27,2,19,62,45,187,13,5,0.233,0.29,0.384,0.674,NL
59," Ramos, W",WSH,C,128,475,41,109,16,0,15,68,21,101,0,0,0.229,0.258,0.358,0.616,NL
60," Howard, R",PHI,1B,129,467,53,107,29,1,23,77,27,138,0,0,0.229,0.277,0.443,0.72,NL
61," Taylor, M",WSH,LF,138,472,49,108,15,2,14,63,35,158,16,3,0.229,0.282,0.358,0.64,NL
62," Owings, C",ARI,2B,147,515,59,117,27,5,4,43,26,144,16,4,0.227,0.264,0.322,0.587,NL
63," Bruce, J",CIN,RF,157,580,72,131,35,4,26,87,58,145,9,5,0.226,0.294,0.434,0.729,NL
64," Rollins, J",LAD,SS,144,517,71,116,24,3,13,41,44,86,12,8,0.224,0.285,0.358,0.643,NL
65," Pederson, J",LAD,CF,151,480,67,101,19,1,26,54,92,170,4,7,0.21,0.346,0.417,0.763,NL
